puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
hfnjloieabmgckdp,manhattan,62,luuldruuldldrdrulurrddlulururddluulldddrulurdruuldrurdlulddrdr,46,154547,538289739,3.48301e+06,9
pdkieocnalbgfmjh,manhattan,48,dddruurrulldrddluurrulldrulldrurdrddllulurdrurdd,34,408.028,1466105,3.59315e+06,8
knoliheamgpcjdfb,manhattan,56,dluurulddruurdddluuurdddluurdlldluuurrdllurrrdldlurdldrr,42,9506.01,33703257,3.54547e+06,8
lfgdmijbepnkhcao,manhattan,51,dluurddruldluuruldrddluurulddrurrdllurrdluuldlddrrr,35,19540.8,69386320,3.55084e+06,9
ofgjbmhpdlnieakc,manhattan,54,ulllddrdluruldrdlurrrdlluruuldrrdluullddrruruldrddlurd,40,2410.83,8680680,3.6007e+06,8
dfgnijpceomalkhb,manhattan,57,urdddlluuldrruullddrdluurrrddlluuruldrruldrddlluluurrddrd,39,178518,622379610,3.48637e+06,10
gnpjeohidlmackfb,manhattan,60,drddluldruluuldddruurrulddrdlluuldrrrullurdllurddrruullddrrd,48,4590,15850616,3.4533e+06,7
jdflabekiogmhpnc,manhattan,50,rurdluldruuulldddrurruuldldlururddluurddrdlurulddr,32,34356.7,114526718,3.33346e+06,10
hjdfebkigoamcpln,manhattan,56,urruullddrrdlluldrulurdrrulullddrrrdllurulurdldrdruuldrd,38,180487,606371492,3.35963e+06,10
fkaghipmcenjdblo,manhattan,55,rddluullddrurullddrurrulllddrruulurddruuldllurdldrrurdd,41,15165.9,49466933,3.26172e+06,8
cgmhdnibpfkjeloa,manhattan,56,rulurdrullddrrurddluldrulldruurrdlurullldrruldlurdldrrdr,36,132295,423258160,3.19935e+06,11
fgciphkedbamljon,manhattan,57,drrruuldlldrrrullulddrrrdlllurrrullulddrdrulururddlulddrr,37,188936,632519258,3.34779e+06,11
ikcfnjephlmbadgo,manhattan,56,ddluldrulluurdrurdldrdlulldruuldruulddruurrdllurrddlurdd,38,59119.2,195892305,3.31351e+06,10
cniaepgjbkfmoldh,manhattan,54,uldrurrdllurdddlulurrrulddrulldrrdlllurrdlluuurdrurddd,36,27992.9,93248895,3.33116e+06,10
kifjodncgleambhp,manhattan,56,luldrurdllurullurrrdllddruuuldddruullurrdldlurdrulurrddd,44,18813.4,62981961,3.34772e+06,7
hilkgdbaojmfpnec,manhattan,57,urrdllurrdlluuurdrrddluruulldrdruulldlurrdldlurdrrullddrr,41,71742.3,240372667,3.3505e+06,9
ejgfckabohlmdnpi,manhattan,49,rulldrrullldrrulldrruluurddluurrdlllurrrdllurdrdd,39,469.235,1480289,3.15469e+06,6
clpbmdfhjikeagno,manhattan,46,ldddluurddruuurdlldrrulddlluurrulldrrrulldddrr,28,4726.91,15588922,3.29791e+06,10
apjnomcklghibfde,manhattan,59,rdrddllluurddruruullddrrululdddluurdrrdlllurrurddlluruurddd,43,149307,501038200,3.35575e+06,9
phnclaejgomibfdk,manhattan,56,drdruullddrrdllurrulddrurulldrrululdrurdllldrdrruulldrdr,42,12570,42273256,3.36303e+06,8
ipkmelnjgdohacfb,manhattan,63,dddruuulddrurddluuurdluldrdlulddrurruulldlddrurullurddluurddrdr,43,649218,2188116312,3.37039e+06,11
gmjnflhodbapckie,manhattan,61,uuldddruuuldluldddruuldrdrurullurdllurdddlurrdlurruulldldrrdr,49,8390.57,27915292,3.32699e+06,7
gndfpcbljkioemah,manhattan,49,ruldrrddruuuldddrulllurrulldrrrdllldruurullddrrrd,31,27297.6,91900806,3.36663e+06,10
gdecbkjmpolafhin,manhattan,54,rurulldrrdrululddrrullddrulldrrrullluruldrdldrruuurddd,40,26955.3,90120014,3.34331e+06,8
beglphndmifojakc,manhattan,45,rddluruldrrurddluruuldluldrddrruulddruuuldrdd,29,4222.48,14404919,3.41148e+06,9
mbfjpngidackohel,manhattan,51,urddlurddrruullurddruulddldlururdruldrdlluuulddrrrd,37,717.167,2428334,3.38601e+06,8
gkldfoephajbmnic,manhattan,52,ddluuldlurdrrulullddrrrulldrdruululddrdluruuldldrdrr,34,22818.2,78030023,3.41964e+06,10
kdcaljhioenmpbfg,manhattan,61,uruldrrrullurrdlldrdlluruurdddlurrdllluuurddrruulldldrurdldrr,39,2.23736e+06,7490490958,3.34791e+06,12
eaohilkfpdmjngcb,manhattan,52,uurddrurddluuuldldrrruldrdllluurrulddrrulddruuuldddr,34,17024,57448453,3.37455e+06,10
cpdejklbmfnagohi,manhattan,53,rdldrrdllurrdlllurruuldldrdruuruldrdllurulldrruldrddr,37,50599.8,169271330,3.34529e+06,9
libcpkgfadnjmohe,manhattan,49,druuldrurdldrurddlurdlluruldlurdrurdluldrrulurddd,33,12806.8,42548774,3.32235e+06,9
camoinjedlhfbgkp,manhattan,60,lluuuldddrruuuldldrruldrdllurulurrdrulldrdrulddlluurrddruldr,40,457176,1525371862,3.33651e+06,11
mogbfhndeklijacp,manhattan,48,ulldrrululurrdllddruuulddluurddlurruldddlurdrurd,32,1908.72,6271775,3.28586e+06,9
pfkhbeiljdocmgna,manhattan,46,drrulldrddruulurdrddluurdluruldlurddlluurrdddr,30,6517.73,22057947,3.3843e+06,9
jcakpifbonlgdehm,manhattan,53,rurdldluurrdrdldruuulddldlurdrululddruuurddrulurdldrd,37,44327.8,150315927,3.39101e+06,9
hbdpkjmngloafcei,manhattan,55,lddruldlurdldrruululddrullurrdllddrruullddrrruulllddrrr,43,1743.85,5937107,3.40461e+06,7
jaehimbnlgpcfdok,manhattan,46,lluurrdrdlldrulurdrdlluulddruuurdrulddllurdrrd,36,778.661,2582710,3.31686e+06,6
onalkgfdebjpihcm,manhattan,55,lullurrdldluurddrdlulurrrulddruuldddrulldruuldldrururdd,33,99623.5,335047005,3.36313e+06,12
nkdblicfamjgehop,manhattan,50,lluulddrruululddrruruldrdlluurddluurdddlurdrulurdd,32,12720.1,43265966,3.40138e+06,10
mdgkoeijlnapbfhc,manhattan,53,uulldddluurdrulddluuurddrrdllluuurdrrddlllurruruldrdd,41,399.76,1294473,3.23813e+06,7
gbnomldcfjaihekp,manhattan,56,lluluurdrulddrdllurrurulldldrdruruuldldrululddrdrruulddr,38,30248.3,101678327,3.36146e+06,10
joefbmdcipkhlnga,manhattan,49,uulddrdluruurdddruldluruldluruldrrruldrddlluurrdd,35,1721.64,5880433,3.41561e+06,8
bcdgmjklfaihpeno,manhattan,35,uurdldrulurdldrururulllddrdruurdldr,23,31.719,105160,3.31536e+06,7
igpafbhcmoenkdjl,manhattan,44,rdldldluurddruuldrrullurrdddluullurddlurddrr,32,1538.87,4967496,3.22801e+06,7
olfpdikbgacjenmh,manhattan,55,ddlululddrdruululdddrururddluululddrrulurrdllurrdddlurd,37,66818.2,225819385,3.37961e+06,10
lbcdmehfjnigaokp,manhattan,42,llururdldlluuurdddluurdluruldrrrdlldrruldr,22,1971.06,6574626,3.33558e+06,11
anhbmjleicpkodgf,manhattan,46,urdlldrulurddruulurdlddlulururdddllururddlurrd,32,795.915,2611264,3.28083e+06,8
bmheplgcoajkfind,manhattan,49,druurddlulddrrurdlluuurrddllldrruulurrdlluldrdrrd,33,10006.8,33764753,3.37418e+06,9
kepbilomgafhcjdn,manhattan,54,drdluurdlldrdluldruluurdrdlulurrddruulddldrrullurdldrr,40,12122.5,40540909,3.34426e+06,8
dkajliobpecfnhgm,manhattan,56,ruurrddlullurrrddldlurdrulullddrruulurdruldrdllldruurddr,40,113261,382207021,3.37457e+06,9
algpeoijkncmfhdb,manhattan,55,dddlllururdruldrdllurdlluruurdlurrdddlllurruurddluldrdr,39,17690.3,59926951,3.38756e+06,9
mflngcjoehadikbp,manhattan,56,uulddruldlluuurdrdruuldrullddruldluurddldrurrulllddrurdr,38,86460.8,291597236,3.37259e+06,10
ebljhpkcngfmoadi,manhattan,56,ddluuurddlurdrrdllurrdluululddrdruuurddluurddlulddlurrdr,38,292243,985640733,3.37268e+06,10
jcbpoengfiahmlkd,manhattan,45,lldldrulurdrdrdlluurrdluuldlurrrdddlluuurddrd,29,2442.63,8668983,3.54904e+06,9
ikohcjnbgafpdlme,manhattan,61,luuldddruuuldlddrruurddlulluurrddruldlurdllururddruulddlurddr,43,266982,955054355,3.57722e+06,10
lgcifmehnojpadkb,manhattan,57,uulddldruurddluluuldrrdrulddluldruuurdlldrrululdrurrddldr,37,50042,178277964,3.56257e+06,11
chablpenjfdimkgo,manhattan,44,ruldlurrddrullurrdllldrrrullldrrdluulurrdddr,32,381.286,1378356,3.61502e+06,7
ghancbfledimjpok,manhattan,50,uruullddrdluurdrruulldrrddluuulldrddruruullldddrrr,34,2890.63,10579246,3.65984e+06,9
nodcklbhjfiapegm,manhattan,57,urulddrruruulddluurdrdlldrrulluurddlluurdlddrrululddrurrd,35,176600,609126801,3.44918e+06,12
mebohfpijcngdkal,manhattan,57,ldrdluldruruldluurrdrulldrdllurrdruldldrruldlluuurrrddldr,39,149658,534823581,3.57365e+06,10
doalfbikphmcejgn,manhattan,48,urdrdluruuldrulldrdrurdlurullldddrrruuuldlldrdrr,34,931.713,3383267,3.63123e+06,8
jdfkphmeilocgnba,manhattan,59,urdrrdlldrrulldlurrdluurddluuldrurulldrrrullldddrrruuulddrd,39,89620.7,320955061,3.58126e+06,11
ciaofpdbjemknlgh,manhattan,44,urdllurdldrruruldlldrrdlluruurddruldrdluurdd,32,661.225,2458040,3.7174e+06,7
gacbhnoleipdkjmf,manhattan,48,uurdlllurrrddluurdlllddrrruulddluruldldrrulldrrr,28,9467.88,33957527,3.5866e+06,11
npchiekgdabmojfl,manhattan,43,ddluurddrdlluuurddrrululddrdluldrurruulddrd,31,106.548,401169,3.76515e+06,7
mhkaoplbefncgjdi,manhattan,54,urrddldrululurrddluldluurddldrrrulllurddlurdruulurrddd,40,5182.53,18482964,3.5664e+06,8
ipflekngdjmhboca,manhattan,59,ddrdruldluulddruruullddruulddrururdddluuullddrdruuruldrdldr,35,981567,3487917224,3.55342e+06,13
ghcdlmnpibejakfo,manhattan,48,ulllddrurddluulddruuulddrurulldrdruurdldrulldrdr,32,1309.93,4779079,3.64835e+06,9
ofecdgmnhlbapkji,manhattan,61,urrullurrdlddluuurddrrdlllurrrulldrrdlllurrrdlluruuldlurrrddd,45,50305.2,179740271,3.57299e+06,9
bhcimfakngoeldpj,manhattan,49,lluurdrdluurdrulurdddllluururdluldrdrrulldlurdrrd,37,1527.55,5360025,3.50889e+06,7
gpmehnfdclojkbai,manhattan,57,rrddlluurddluldrdrruulluldrddluurdrdlurrululldrrullddrrdr,43,6215.24,22213108,3.57397e+06,8
dmklcnpijefohbag,manhattan,57,ddlluruulddrrurullldrddrruuulldrdldluurddluuurdrddruuldrd,43,9604.87,34190493,3.5597e+06,8
ocekpldgahbinfjm,manhattan,55,urrddlulddruuuldrrdrdllurrdlllurrruulldldrdluurdrruldrd,37,88089.9,315610351,3.58282e+06,10
fhnmdijpbegkaocl,manhattan,52,ullldrrrulldrrdllurddluulddruuulddrurulldrrdruulddrd,38,3578.91,13043362,3.64451e+06,8
ejamnokpihlbdcgf,manhattan,58,ddllluruurdruldrddluurddluldrulluurrrddllldruururddluurddd,42,46073.1,164300295,3.56608e+06,9
kdmefigpjncoalbh,manhattan,52,luldrddluldruuldruuldrrdruuldlurdrddlulurdldluurrrdd,36,5429.67,19474665,3.58671e+06,9
fihjdkepngcmlbao,manhattan,58,uldddluulurrddruuldldrrulddllururddluulurrdddlluuurrrddldr,42,75038.8,272170234,3.62706e+06,9
pgahkbojfnmdlcie,manhattan,58,ddrrrulddruldllurrdlluururddruuldllurdldrrrdlurullldrrurdd,38,477511,1795643217,3.76042e+06,11
enmpkfdgijolhacb,manhattan,55,dluldddruuurdddluulddluuurdddrulluurdrdruldluruldlddrrr,33,20136.9,75921892,3.77029e+06,12
fohnaicpljedbkmg,manhattan,54,uldrullldddrulurdruulddldrrulldrruurddluuurddlllurrrdd,36,57151.9,214160800,3.74722e+06,10
lgihkmfcdenobpaj,manhattan,56,uuuldddrurdruuldluurdllddrruulurdrdllulurdldrurrulddldrr,44,8485.03,32404709,3.81905e+06,7
jdanifbhpmgkcelo,manhattan,50,druuurrdddlulluurdrulddruldldrruruuldlldrdrulurdrd,30,43366.8,164130126,3.78469e+06,11
clehdofagpimkbnj,manhattan,53,rrullldrrrullurdlldrrrullddluuruldrdrdruuulldddruldrr,41,6990.09,26085672,3.73181e+06,7
npkocgdmfbiajleh,manhattan,53,lddrrrululdldrrdllurrrdluuurddluullddrdruuulldddrrurd,43,1022.3,3699236,3.61854e+06,6
mjldcfaopneghikb,manhattan,52,druurulddldrrruuldlulurdrddruuldllurruldrddllururddr,36,10177.3,38376682,3.77082e+06,9
pichbmojealkfdgn,manhattan,46,drdluruldrddluurdrdruullurddldruruullddrdruldr,32,1943.69,7226234,3.7178e+06,8
kdlohpegbjmciafn,manhattan,50,ddruruullddluurddluurdrdruulddllurrdldrruulldldrrr,38,783.081,3115942,3.97908e+06,7
lebmkcofgnhajidp,manhattan,56,luullurrdruldrddlullurrrddlullurruldrdlluurrrddlldlurdrr,42,15188.4,57186520,3.76514e+06,8
lnhoebdgpacmfijk,manhattan,48,urdrruullldrrulddruulldddruldrrurullddrruuuldddr,36,341.511,1318044,3.85945e+06,7
chkdleiapjngofmb,manhattan,52,uruldrrrdlllurrdlldrrrullldrrrulldruuulddluurddrurdd,34,8510.95,31800618,3.73644e+06,10
pgfkcibehmanlojd,manhattan,54,dddrulurrdlldrrurdlullurrulldrrrdllururdlulldrddruurdd,40,8853.32,33622798,3.79776e+06,8
acgdlnfoihejmpkb,manhattan,40,uuldrrulddrruuldllurrddruulddluurulddrdr,26,91.8,369500,4.02505e+06,8
okleipfgbjhmadnc,manhattan,60,drrdluldrululddruuulddrururddlulurrddldrulluuldrrurddlldrurd,40,651526,2542669276,3.90264e+06,11
hfbmgdljioncepak,manhattan,54,ruurdlldlurdruulldruuldrurdruldrddluuldrdlurrulllddrrr,38,135298,529032882,3.91014e+06,9
cebidpmjaghnlfko,manhattan,54,ldrruldrrullulddruurrdlllurrdluldrddluurdrrdllurdruldr,38,82462.9,324000909,3.92905e+06,9
bgdmopanjfihkecl,manhattan,50,dldrurdlulurrdllurrrulldrrdluulldddrurdluulddrurrd,36,4725.22,18293089,3.87137e+06,8
ekfbondgijhacpml,manhattan,46,uulddrrulldrruruldluurddldruluurrddllluurrdrdd,32,551.075,2189055,3.97234e+06,8
obedhlgipmkcnajf,manhattan,52,druurrdllldrrulurrddlululurrdlldrrruldluuldrrdldrurd,34,12921.3,51140103,3.9578e+06,10
himfploaegbnkdcj,manhattan,61,urrrdlddruullurrdldluldrdluuurdddrruullurrdlllurrrdldluldrdrr,47,82326.8,323014172,3.92356e+06,8
jnaophcdelgfbkim,manhattan,53,urrdllurrdrulddruulddldrrullldrruuldlurdldruruulddrdr,35,15190.1,59649161,3.92683e+06,10
daonjlpmebgcfkih,manhattan,53,rdlululdddrruuulddldrruuruldrddlulluurdrdlulddruurrdd,39,15018.7,52807335,3.51611e+06,8
khidcglemafpnjob,manhattan,47,dlurulldruulldrrulldrdrrululddrulddruldluurdrdr,33,3665.9,12424481,3.3892e+06,8
jcgfpabokmilendh,manhattan,43,rrddlulurrdruuldrullldddrrurdluluulddrurrdd,29,646.117,2145739,3.32098e+06,8
pgomkedjlacinfhb,manhattan,56,drdrrdluruuldrullddluurdrdluruldldrdrurullddlurrrdluurdd,42,2278.45,7701707,3.38024e+06,8
jlfdcphabkgieomn,manhattan,50,ulddruuldrrrdllurrdlldrrulllurrulldddrrululdrurrdd,32,10698.6,37336542,3.48984e+06,10
emblfcjhdkpaingo,manhattan,46,lurrdlllururdrulddluurdddluluurrddruullddldrrr,28,12079.4,42699013,3.53486e+06,10
amjhgfenkldipocb,manhattan,55,uurrdllururddrdlluuulddrrruldrdlllurrruuldddluulurrdddr,35,13872.9,49429699,3.56305e+06,11
alkcdhbnfeipmjog,manhattan,39,uuldlldrrrdluulurdruldrdlulldrdruurdldr,29,21.676,75744,3.49437e+06,6
ienbjkmplohgdfac,manhattan,56,ddluuurdddlulldrrulldrruuldrrdlluruldluurddluurrdruldrdd,44,2886.33,10378551,3.59576e+06,7
ckfnaglbimpodjeh,manhattan,52,uulldddruldrruluruldrrulddruldrdluulddruuldlururrddd,36,11994.8,42491192,3.54247e+06,9
pmgfdieahbjoklcn,manhattan,54,druldrrrullddluurddrdllururrulldrddrulldrrullluurrdrdd,40,6013.77,20853868,3.46768e+06,8
ejaflogkimbcdnhp,manhattan,50,lluuurddlulddruurdlluurdddruurddluulurrdluldrurddd,34,3917.34,13815094,3.52665e+06,9
edmlfockabjgihpn,manhattan,49,ruulldruuldrrulllddrdruluuldrurddrdlurulddluldrrr,31,52204,184830123,3.54053e+06,10
jondhbagikfepclm,manhattan,53,uuurdrdrdllurrululdlurddrdlulurrdlldruuurdrdldluurrdd,35,4105.14,14266752,3.47534e+06,10
pdlcbkhjangfeomi,manhattan,48,dddrruurulllddrurrulddruldldrruldllurrdllururdrd,30,6747.34,23685011,3.51027e+06,10
aihknfjemgbolpcd,manhattan,52,uuurdrddllluurrdllurruldrdrdlluurdruulddrdluruulddrd,34,18643.1,65593357,3.51838e+06,10
maijelpcfhkdongb,manhattan,51,rddlululurrddrdllulururrdldluruldrddllurrrdlluurdrd,33,76040.5,268833753,3.5354e+06,10
cemanhipdbolkfjg,manhattan,54,dlulurddlluruldrrdldluurrddruulurdllurdldrdlluuurrdddr,38,8051.63,27557810,3.42264e+06,9
gpkmlobaifndehcj,manhattan,57,rdruldrdlulldrrdluuurrdldlulurrdddruuldlulddrrruullldrdrr,41,51141.9,172701224,3.3769e+06,9
lndoifkjcgpamehb,manhattan,56,ruullddrdruululdddrruluuldldrulurdldrdruuldrurdluuldddrr,40,56298.2,173568936,3.08303e+06,9
phmkaedinfojbgcl,manhattan,48,drddruluruldrrullldrrdldluurddluuurddrruullddrrd,36,600.049,1857952,3.09633e+06,7
eglmipokfbadjnhc,manhattan,50,druurddldruluurddluulddrdluruulddldrruuldluurrdddr,36,13439.9,40771533,3.03362e+06,8
ghdbkepmfcnjloia,manhattan,59,ddruululdddrurulurdlllddrrulldrrrullulddrrrulluuldrurdlddrr,41,296674,994952229,3.35368e+06,10
gmkcohjpiaebdlnf,manhattan,52,lldluruldrdrdlluurddluurdrrdllurrulldrrululddruurddd,42,192.966,697859,3.61649e+06,6
anliegjcmfpkdhob,manhattan,52,uurdddlurullddluururddluurddldruluurddrulurdllldrdrr,34,14870.5,49698907,3.34212e+06,10
pibcodnejlafgmhk,manhattan,48,dddruruldluurddrullurrdrdldluurrdlllurrurdddlurd,38,203.473,633403,3.11296e+06,6
fmolgiebpjhadkcn,manhattan,60,ururdddluuurdrulddrulddluldrrrullurdlluurdddruullurrdrulddrd,40,212530,714185876,3.3604e+06,11
lmbgfkcojhapinde,manhattan,49,ulddrulluulddruurrddldluurdllurrulldrurrddllldrrr,37,1643.13,5581984,3.39716e+06,7
ogahlikbpnejmdcf,manhattan,58,uurdddruurdllluurrdddluluurrdddluurrddllulurrdruulddlurdrd,38,197582,669652926,3.38924e+06,11
aegpkncomhijfldb,manhattan,51,dldlurddlluururrdldrdluruldllurruldddruulddruuurddd,35,7023.65,23915997,3.40507e+06,9
nkdaopjemhlcigfb,manhattan,56,rruldrddluluurdrddlluulurrdrdllurrdldluluurdrddluldrurrd,40,64160.9,218165823,3.40029e+06,9
ofmhdpiljeckabgn,manhattan,56,uldrddluurrulldrdruuldddruulddrrullldrrruuullddluurrdddr,36,250105,844129946,3.3751e+06,11
gbihcoedkmfaljnp,manhattan,54,llluruurdrddlluulurrdruldllurrdldrrdllluuurddrrdllurdr,34,77532.8,262483491,3.38545e+06,11
ojgpemdnfakhlibc,manhattan,51,ldrdllurddruuulllddrdluruurdddluuurddlulurrdrddlurd,37,995.409,3487337,3.50342e+06,8
knbadlcmheojgfip,manhattan,58,uullurrdlllddrrurdluullddrrurulluldrurrdlllurdldrrullddrrr,42,19571.6,66441351,3.39478e+06,9
pgklmdhfjbeancio,manhattan,48,rdddluurdrdllurrruulddruulldrrulldlurdldrrulddrr,34,486.701,1613564,3.31531e+06,8
jondibepklmhfcga,manhattan,56,ddluldrullururddluuldddrurrdlluuurddrdlluurdlluruldrdrdr,38,46686.1,157771754,3.37941e+06,10
cjbidlhnkogefapm,manhattan,57,ruullurrdldlulurdlddrrurdlurululdlddrurulldrrurulllddrdrr,41,68440.1,232024734,3.39019e+06,9
efpgohcdblkmnaij,manhattan,48,ddlulurrrdllddrurdluuldldrrurululddluurdlddrurrd,32,4036.04,13646348,3.38112e+06,9
kgdplocajmhnibef,manhattan,55,dlurdllurrdldldrruullddluuurddldrruldluurdldrrrullldrrr,39,20575,70054730,3.40485e+06,9
mhikbofcdgljapne,manhattan,56,rrullulddrrruluuldlurdlddruurddluldruurrulllddrrruulddrd,40,72015.8,244976242,3.4017e+06,9
jpaiegocmkdnlfhb,manhattan,47,rrdldrdllluuurddrrulddluuruldrdrdlululdrururddd,37,267.604,934692,3.49282e+06,6
kidlehgfcbjoanpm,manhattan,45,ruuuldlulddrdruluuldddrrurullulddrruulldrddrr,29,860.362,2980873,3.46467e+06,9
jknifhbademcglop,manhattan,58,lluldrruluurrddlluurrddlldruluuldddruuurdllurrrddlulldrrdr,44,12631.7,42828138,3.39054e+06,8
jfpeinbdgcmlkhao,manhattan,50,dlddruulurrddlllurddluuurrddrullddrulluruldrdldrrr,36,8191.72,27870530,3.40228e+06,8
hbldijeomcpfnkga,manhattan,46,lurulddrrulldrdruldlurulddluuurdlurrdldrrulddr,32,2409.82,8173643,3.3918e+06,8
npkagoljecfhidmb,manhattan,57,ddrululddrdrurdluurdlluuldddruururddldluuurrddlullurrrddd,39,85395,289248816,3.38719e+06,10
loaegjnbdchkipfm,manhattan,56,ulurddrrululurdlddruuruldllurrdrdlllurrdllurrdlldrrruldr,42,8577.56,29342752,3.42088e+06,8
dkgfembpcnlahoij,manhattan,54,ulllddrurddllurrruldrdlllururuldlurddrruullddrdrulurdd,38,16230.4,55492796,3.41906e+06,9
jifpkmcgdnaolhbe,manhattan,55,dlddluulurrdddruldluuurddlldrrulluurdrdllururdruldrdldr,45,830.714,2837074,3.41522e+06,6
efdkcjoniphblmga,manhattan,51,ulddrururddluurulldrrddlullurrrdlluruldlurdrrdlldrr,35,7624.87,25621509,3.36026e+06,9
ikgcpanjdfolhebm,manhattan,53,urddldrulurddrrululddrurulldluurdlddrrurullldrruurddd,37,13841,46630512,3.36902e+06,9
fgbldmepaoijhnkc,manhattan,54,ulddluldrurulldrrrddllluurrrdlldrrullururddlluurrddldr,34,38203.4,129283875,3.38409e+06,11
jebogpafdcmihlkn,manhattan,56,drruuldlldrrdllurrrulddrulldrululurrdllurrrdldluurrdlddr,42,27304.4,91800167,3.3621e+06,8
fnbomckejgphliad,manhattan,56,druullurddlurdllurddlurrruuldddluurdruldrdluuulldrurrddd,36,425460,1436768586,3.37697e+06,11
jkmgcodfbeliphan,manhattan,55,urdrrulluurdluldddrrrulluuldddrruurulllddrdluruuldrrrdd,43,3813.35,13058383,3.42439e+06,7
aobghnkdpljcmfie,manhattan,54,ururdddluurddlulurrrddluuurddlllurrrdldluurdllurrurddd,30,246943,834160928,3.37795e+06,13
pgbneidfmkhajclo,manhattan,46,drurdruldrdldlluurrrdldluuruldrddluulurrdldrdr,32,1113.32,3861945,3.46886e+06,8
hkipamfbgecnojdl,manhattan,51,ddldluuulddruurdrdlulddlurrulurrddldluuldrrulurrddd,37,3386.99,11536707,3.40618e+06,8
lkhdignpombceajf,manhattan,58,lullddrdluurdrrululddluurdrurdldldrurdluruuldldlurdrulddrr,38,901332,3048523148,3.38224e+06,11
ahnieojmbpgdcklf,manhattan,57,urrddlulldrulurddruuurdlulddruuldldrrruldrdlllurrdluurddr,41,173869,586019213,3.37046e+06,9
likdhjcompbfgane,manhattan,55,ulurdruldldrdrruulldrdruululddrdlluuurdddluurdrrullddrr,39,30239.1,102750676,3.39794e+06,9
mfcphkidojnbagle,manhattan,55,dddluullddrurrulllddrurrulllurddlurdrulddluuurdldrdrurd,35,82393.7,277757941,3.3711e+06,11
figomjaepbhdnkcl,manhattan,44,urrrdlldluuruldrrruldddruuulddrdlullururdrdd,32,728.187,2487572,3.41612e+06,7
ijafhnkblmcegpdo,manhattan,50,ulururrddllluurrdrdldrullururddllldrulurdrulurrddd,38,996.301,3333569,3.34595e+06,7
pfjbomlchkenigad,manhattan,54,rrdddluurddlulurrdrdlullurrurddlululdddrruluurrdddlurd,40,9966.61,33849605,3.3963e+06,8
amdckgfneiljhpob,manhattan,50,uuurddrdluruldluurdllddrurrulldldrruldrrululurrddd,30,6838.48,22582004,3.30219e+06,11
eapimjldnkghfobc,manhattan,44,rdlddluuruldrdrdllluururddruldldluuurrdldrdr,30,1285.49,4370404,3.39981e+06,8
nabcgipmloefkdhj,manhattan,51,dlurrdldluluurdrddrulurdlllururrddlldluurrddllurrdr,41,2253.18,7623848,3.3836e+06,6
mkigbnelacjhdpof,manhattan,56,uurullddruuldrddluurdruldrrdlllurrrulddrullururddluurddd,36,67011.5,227881968,3.40064e+06,11
dmplcbnekjofhiag,manhattan,56,lldrddlurdruuuldrdldlururrddlluuuldddruurrullldrrdrulddr,40,12692.4,43454675,3.42368e+06,9
bkohdgplcfjnimae,manhattan,49,uldlddrruuuldldrdruuulddrrdluruulddllurrulldrddrr,35,3760.6,13042644,3.46823e+06,8
gpkcinealohmbdfj,manhattan,57,dddrrullldrrrulldruluuldddruurrddlluuruldlurddlurdruurddd,41,21045.2,71052752,3.3762e+06,9
jkncebmlhipdaofg,manhattan,50,uuldlddruuldrruullddrdlurrrulddruullurrdlddluurdrd,34,7839.89,25755470,3.28518e+06,9
ghkbdfjloaicempn,manhattan,49,uuulddldrruruldldrruululdlurrrdllldrdrurullurrddd,33,2907.8,9973617,3.42995e+06,9
pfgkdoaceljibmhn,manhattan,48,dddruurdrdlluluruldrdrruulldldrrurddllururuldrdd,34,488.296,1684663,3.45009e+06,8
pfhkonildgamebjc,manhattan,56,rdrdrdluldrulurdllurdldrurruuldlulddruurdddruuuldddlurrd,42,28098.5,94940455,3.37885e+06,8
afegiokcjhbdmnpl,manhattan,31,luurdldruluurdlurrddlllurrurddd,23,6.213,19138,3.08032e+06,5
jecihfmakdnlpobg,manhattan,55,uuurddruldrdluldrrruluruldrdllurrdldlulururddlluurrrddd,37,9221.31,31180873,3.38139e+06,10
oankidebfjchgpml,manhattan,48,luuurdrdldluurrrulldrrulldddruurdluldldrurdlurrd,34,1755.27,5862438,3.33991e+06,8
ofbpmleangkchdij,manhattan,55,ddldllurururdddlluluurdlurrdldrrdlllurrurddluullurrrddd,41,7548.34,25625803,3.39489e+06,8
nlheijacmdbfkopg,manhattan,51,ulururddldluruuldddluuurdldrurrddllulurrurddlurdldr,39,2691.14,9080431,3.37419e+06,7
igchamokpdljnfeb,manhattan,48,urddruulurdrddlurulldlurdrruulldddluuurddlurdrrd,32,1275.05,4284669,3.36039e+06,9
kleipahnmodgbcfj,manhattan,55,rurrdldluurrddlluuldrddluurruldddrruluuldddruurulldddrr,45,9175.53,30721510,3.3482e+06,6
gmjkidlohcebnafp,manhattan,56,uuldldrruulldlururddluulddrurrulldrddruuldldluurrulddrrd,44,8543.58,29115969,3.40794e+06,7
dcfnkmiajbpehglo,manhattan,58,urullldrrulddrruuldddlluuurdddluurrrdlllurrddruuldrdluldrr,42,108105,364348432,3.37032e+06,9
gadlcfiomkhbejpn,manhattan,43,lluruuldrrdruullldrddrruulldlurrdluruldddrr,29,1002.12,3354639,3.34756e+06,8
