puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
mhgliocabknjdefp,disjoint-database,58,ulurulddluurdllurrddldluurddluurddrrululddrruuuldrulldddrr,48,225.627,148504,658184,6
afnmbhpdjielocgk,disjoint-database,49,urdluldldrrulurdlddluurdrdruullurdddlurrdlulldrrr,41,86.769,53360,614966,5
igomdklnfcbjaeph,disjoint-database,59,ruuulddlulurdrrulldrddruuulddlulddruulurdlddrrruullulddrdrr,51,113.398,73836,651123,5
aocmebfdlignphkj,disjoint-database,49,uruurrddllurddlluurruldrrddlluurdrdlluulddrururdd,39,51.197,32317,631228,6
gknicjlmadobfphe,disjoint-database,58,ruurdluurdddluulddruuldrrullurrdlllddrurululddruurdlldrdrr,50,115.469,76347,661190,5
mjnhkldgeoifapbc,disjoint-database,58,uuruldlurdlddruuldrrdllurruulldrdrrdlluruulddrurdlurulddrd,48,902.425,590585,654442,6
hkpjcmiganobfeld,disjoint-database,48,lldddruururdddluurddlluurulldddrruuurdluldldrrdr,44,24.132,13332,552461,3
fgeijdklpnombhca,disjoint-database,56,rdrurdluulddrurullurrdldluurddlldruuldruurddlulurdldrrdr,46,120.982,68531,566456,6
amdeociflgbkjhnp,disjoint-database,48,uuulldrdllurruldrrdldluurrddlluldrurrdllulurrrdd,40,5.464,2380,435578,5
cibaedjpfkhglmon,disjoint-database,50,dluurdddluululdrurddruuldldldrrulluurrddlurrdlldrr,38,340.98,218808,641703,7
mclnejkobafidphg,disjoint-database,62,uurrullldddruuuldddruuldrrdruullurdddruuullldrddrruuldldlurdrr,50,1636.07,1093171,668169,7
pjdigoaecnfkmhlb,disjoint-database,52,ddruuldrrruldrddllulurrulldrrddlulurrdruldlurulddrrd,42,147.733,94842,641982,6
cjaldoghebkpnfmi,disjoint-database,49,lulurrdlddruulllurddruuldldrdrruullddlurrruuldddr,37,124.031,79742,642920,7
nejgbhpmcfklodia,disjoint-database,57,lddruldrruulddluluurrddruuldldrulldrdluruurdddluulurdrrdd,49,324.21,216119,666602,5
elocpmidkfnjabgh,disjoint-database,51,rddluurddruuuldddruuuldddruldlurrrdllurullurrrddldr,43,387.295,252598,652211,5
ncgfaehkolbimpjd,disjoint-database,48,uluurrdddluuldrurdrdlluruullddrrurdluurdluldrrdd,38,29.022,18093,623424,6
gdhmfojiklpcebna,disjoint-database,58,ruulddrdlurulldrrullddrurululddluurdrdlulddrrruuuldllddrrr,52,875.228,586128,669686,4
mlhcjpeondfkiabg,disjoint-database,50,urdlddrruullddrruululdddluuurdrurdldllurddlururddr,42,19.827,11455,577748,5
npdgjlabocikmhfe,disjoint-database,53,drddrulllurulddrurruldddlulururddrdlluurdrdllulurrrdd,41,1417.2,958222,676137,7
mpdoifabeghnlckj,disjoint-database,45,drrulldlurrddllurddluurddrruullurddldrrulldrr,43,0.611,297,486088,2
pcndifbejmlhaogk,disjoint-database,44,dddruldrruuldruulddluurdrrddlluurddlulurrdrd,34,95.715,61926,646983,6
nekmoadhicljgbpf,disjoint-database,51,uruulddldluuurddluurdrdruulddrdluldruruldlldruurdrd,47,13.174,7431,564066,3
lajgnpkhefbdocmi,disjoint-database,54,drdlluuurddrdruldluldruruuldldrurrddluuurddllururddldr,42,887.279,583690,657843,7
idgbjeplmaofknch,disjoint-database,43,ldrdruuulldrruldddruldlluuurrddldrullurrrdd,33,96.007,60717,632423,6
gfjdnacimlheopbk,disjoint-database,42,uluruldrrddllurrrululddrrdlllurruuldldrrrd,36,2.114,706,333964,4
ikadbegfjphomcnl,disjoint-database,39,uurddrulurdlllurdddruruldllurrdruulddrd,29,91.744,58707,639900,6
amfgldochpejikbn,disjoint-database,49,rrulldlururdddluurddlurruuldddrullldrruluurdrdldr,39,51.033,30716,601885,6
